index,rank,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
5771,Champion,4,1,3,4,3,0,1,2.75,13500.276213071826,504739.2639476684,104,82.5,8.25,6162,1704,1.3199999999999998,7,0,2925.0,8,2,1,2,2
5772,Challenger,5,1,2,3,2,1,2,4.125,0.0,0.0,101,75.0,17.666666666666668,8672,2921,2.566666666666667,10,2,2112.5,8,3,0,2,0
5773,Champion,6,0,2,1,1,2,4,3.875,53682.66110481791,1437721.7738654807,104,72.5,4.0,9693,2377,1.3166666666666667,6,5,2706.25,8,4,1,2,0
5774,Challenger,5,1,2,2,2,2,2,4.267857142857143,0.0,0.0,104,78.0,13.333333333333334,10243,1631,2.983333333333333,5,3,2462.5,7,3,1,1,2
5775,Challenger,6,1,1,3,3,1,1,4.25,1541.0124220850687,40957.94477639879,94,72.5,15.0,10828,2107,1.5142857142857142,8,1,3331.25,8,6,1,1,0
5776,Challenger,5,0,3,0,2,4,2,4.696428571428571,0.0,0.0,104,60.0,2.0,9334,4115,1.9600000000000002,5,2,3525.0,7,5,1,2,2
5777,Master,5,1,2,3,2,2,1,4.375,0.0,0.0,104,87.0,16.833333333333332,8702,2032,2.183333333333333,11,1,2125.0,8,4,0,0,2
5778,Master,5,0,3,2,0,4,2,3.25,16000.737775576396,459549.89352290274,104,66.0,3.033333333333333,4800,1590,1.4200000000000002,7,3,3775.0,8,5,0,2,1
5779,Challenger,7,0,1,2,3,3,0,4.5,0.0,0.0,103,68.57142857142857,0.0,16051,2966,1.4857142857142855,9,1,2737.5,8,2,2,0,1
5780,Challenger,5,0,3,2,4,1,1,4.0,2206.733511473965,99574.94636102748,92,78.0,0.0,9005,2419,1.8399999999999999,5,1,2650.0,8,4,1,1,2
5781,Challenger,6,0,2,4,2,1,1,3.625,0.0,0.0,104,85.0,3.0,5003,2506,1.4666666666666668,12,1,3512.5,8,6,0,2,0
5782,Challenger,7,0,1,2,3,2,1,4.0,2543.3695880160158,65096.59484679219,104,79.28571428571429,0.0,11940,2986,1.3857142857142857,11,3,1812.5,8,3,3,1,0
5783,Challenger,5,2,1,2,3,2,1,3.625,2647.16433594431,83428.51368379554,76,84.0,20.0,5806,1220,1.1428571428571428,11,1,4993.75,8,3,1,0,1
5784,Challenger,6,0,2,2,1,3,2,4.0,0.0,0.0,95,65.0,3.0,10040,2139,1.8833333333333335,8,4,3450.0,8,5,1,1,1
5785,Challenger,7,0,1,0,1,4,3,4.75,0.8918918918918919,5.77009541889394,72,64.28571428571429,4.0,9860,1861,1.4857142857142858,7,6,3000.0,8,5,1,1,0
5786,Challenger,4,1,3,1,1,4,2,3.625,3787.8289411889555,130714.6866064812,101,67.5,7.775,6066,1862,1.1199999999999999,18,2,3512.5,8,4,0,1,2
5787,Master,5,0,3,1,1,4,2,4.125,2044.7397689346872,42172.097192939495,104,57.0,0.5,10828,1811,1.64,5,4,2356.25,8,4,1,0,3
5788,Challenger,6,0,2,2,1,2,3,4.375,10457.958245625292,282949.5161692362,74,62.5,0.0,10151,2241,1.4833333333333334,6,4,2725.0,8,4,0,1,1
5789,Challenger,4,2,2,5,1,1,1,3.0,34409.273469519794,1256494.155553698,98,82.5,15.0,5880,1949,0.8500000000000001,7,1,4075.0,8,4,0,0,2
5790,Master,6,0,2,3,0,3,2,2.75,10922.076234098258,360003.31984346453,101,85.0,4.0,5071,2100,1.2,18,1,1981.25,8,3,1,1,1
5791,Master,7,0,1,6,1,1,0,4.0,0.0,0.0,103,70.71428571428571,0.0,10129,2233,1.542857142857143,11,1,3687.5,8,4,1,0,1
